Unique ID,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000441371000033,"Seibt, G","Seibt, G","Seibt, Gustav","Seibt, Gustav"
WOS:000413010400007,"Barnett, WK|Embi, PJ|Fultz-Hollis, K|Mosa, ASM|Sanchez-Pinto, LN|Tachinardi, U","Barnett, WK|Embi, PJ|Fultz-Hollis, K|Mosa, ASM|Sanchez-Pinto, LN|Tachinardi, U","Barnett, William K.|Embi, Peter J.|Fultz-Hollis, Kate|Mosa, Abu S. M.|Sanchez-Pinto, L. Nelson|Tachinardi, Umberto","Barnett, William K.|Embi, Peter J.|Fultz-Hollis, Kate|Mosa, Abu S. M.|Sanchez-Pinto, L. Nelson|Tachinardi, Umberto"
WOS:000400384700004,"Banks, DE|Zapolski, TCB","Banks, DE|Zapolski, TCB","Banks, Devin E.|Zapolski, Tamika C. B.","Banks, Devin E.|Zapolski, Tamika C. B."
WOS:000394402400019,"Byrnes, HF|Miller, BA|Morrison, CN|Wiebe, DJ|Wiehe, SE|Woychik, M","Byrnes, HF|Miller, BA|Morrison, CN|Wiebe, DJ|Wiehe, SE|Woychik, M","Byrnes, Hilary F.|Miller, Brenda A.|Morrison, Christopher N.|Wiebe, Douglas J.|Wiehe, Sarah E.|Woychik, Marcie","Byrnes, Hilary F.|Miller, Brenda A.|Morrison, Christopher N.|Wiebe, Douglas J.|Wiehe, Sarah E.|Woychik, Marcie"
WOS:000393663300011,"Groves, D|Knopf, A|Miller, WR|Otte, JL|Silverman, RD","Groves, D|Knopf, A|Miller, WR|Otte, JL|Silverman, RD","Groves, Doyle|Knopf, Amelia|Miller, Wendy R.|Otte, Julie L.|Silverman, Ross D.","Groves, Doyle|Knopf, Amelia|Miller, Wendy R.|Otte, Julie L.|Silverman, Ross D."
WOS:000392233400018,"Bair, MJ|Chang, Z|D'Onofrio, BM|Gibbons, RD|Hur, K|Krebs, EE|Kroenke, K|Quinn, PD|Rickert, ME|Scott, EL","Bair, MJ|Chang, Z|D'Onofrio, BM|Gibbons, RD|Hur, K|Krebs, EE|Kroenke, K|Quinn, PD|Rickert, ME|Scott, EL","Bair, Matthew J.|Chang, Zheng|D'Onofrio, Brian M.|Gibbons, Robert D.|Hur, Kwan|Krebs, Erin E.|Kroenke, Kurt|Quinn, Patrick D.|Rickert, Martin|Scott, Eric L.","Bair, Matthew J.|Chang, Zheng|D'Onofrio, Brian M.|Gibbons, Robert D.|Hur, Kwan|Krebs, Erin E.|Kroenke, Kurt|Quinn, Patrick D.|Rickert, Martin|Scott, Eric L."
WOS:000392106500024,"Bell, TM|Blanton, C|Joshi, MM|Koniaris, LG|Mayo, JS|Torbeck, L|Valsangkar, NP|Zimmers, TA","Bell, TM|Blanton, C|Joshi, MM|Koniaris, LG|Mayo, JS|Torbeck, L|Valsangkar, NP|Zimmers, TA","Bell, Teresa M.|Blanton, Casi|Joshi, Mugdha M.|Koniaris, Leonidas G.|Mayo, John S.|Torbeck, Laura|Valsangkar, Nakul P.|Zimmers, Teresa A.","Bell, Teresa M.|Blanton, Casi|Joshi, Mugdha M.|Koniaris, Leonidas G.|Mayo, John S.|Torbeck, Laura|Valsangkar, Nakul P.|Zimmers, Teresa A."
WOS:000390565500002,"Aalsma, MC|Alexander, AO|Holloway, ED|Lau, KSL|Schwartz, K","Aalsma, MC|Alexander, AO|Holloway, ED|Lau, KSL|Schwartz, K","Aalsma, Matthew C.|Alexander, Andrew O.|Holloway, Evan D.|Lau, Katherine S. L.|Schwartz, Katherine","Aalsma, Matthew C.|Alexander, Andrew O.|Holloway, Evan D.|Lau, Katherine S. L.|Schwartz, Katherine"
WOS:000389863700021,"Agley, JD|Gassman, RA|Meyerson, BE|Ritchie, K|Ryder, PT|Shannon, DJ","Agley, JD|Gassman, RA|Meyerson, BE|Ritchie, K|Ryder, PT|Shannon, DJ","Agley, Jon D.|Gassman, Ruth A.|Meyerson, Beth E.|Ritchie, Karleen|Ryder, Priscilla T.|Shannon, David J.","Agley, Jon D.|Gassman, Ruth A.|Meyerson, Beth E.|Ritchie, Karleen|Ryder, Priscilla T.|Shannon, David J."
WOS:000390959300010,"Embi, PJ|Moffatt-Bruce, S|Smoyer, WE","Embi, PJ|Moffatt-Bruce, S|Smoyer, WE","Embi, Peter J.|Moffatt-Bruce, Susan|Smoyer, William E.","Embi, Peter J.|Moffatt-Bruce, Susan|Smoyer, William E."
WOS:000392754000007,"Chang, Z|D'Onofrio, BM|Larsson, H|Lichtenstein, P|Quinn, PD","Chang, Z|D'Onofrio, BM|Larsson, H|Lichtenstein, P|Quinn, PD","Chang, Zheng|D'Onofrio, Brian M.|Larsson, Henrik|Lichtenstein, Paul|Quinn, Patrick D.","Chang, Zheng|D'Onofrio, Brian M.|Larsson, Henrik|Lichtenstein, Paul|Quinn, Patrick D."
WOS:000393181400007,"Cottingham, AH|Griffin, WJ|Inui, TS|Ivy, SS|Litzelman, DK","Cottingham, AH|Griffin, WJ|Inui, TS|Ivy, SS|Litzelman, DK","Cottingham, Ann H.|Griffin, Wilma J.|Inui, Thomas S.|Ivy, Steven S.|Litzelman, Debra K.","Cottingham, Ann H.|Griffin, Wilma J.|Inui, Thomas S.|Ivy, Steven S.|Litzelman, Debra K."
WOS:000390666900012,"Almqvist, C|D'Onofrio, BM|Jernberg, T|Kuja-Halkola, R|Larsson, H|Latvala, A|Lichtenstein, P|Mataix-Cols, D|Ruck, C","Almqvist, C|D'Onofrio, BM|Jernberg, T|Kuja-Halkola, R|Larsson, H|Latvala, A|Lichtenstein, P|Mataix-Cols, D|Ruck, C","Almqvist, Catarina|D'Onofrio, Brian M.|Jernberg, Tomas|Kuja-Halkola, Ralf|Larsson, Henrik|Latvala, Antti|Lichtenstein, Paul|Mataix-Cols, David|Ruck, Christian","Almqvist, Catarina|D'Onofrio, Brian M.|Jernberg, Tomas|Kuja-Halkola, Ralf|Larsson, Henrik|Latvala, Antti|Lichtenstein, Paul|Mataix-Cols, David|Ruck, Christian"
WOS:000388955800004,"Fitzpatrick, G|Newhouse, RP|Ogbolu, Y|Scrandis, DA","Fitzpatrick, G|Newhouse, RP|Ogbolu, Y|Scrandis, DA","Fitzpatrick, Grace|Newhouse, Robin P.|Ogbolu, Yolanda|Scrandis, Debra A.","Fitzpatrick, Grace|Newhouse, Robin P.|Ogbolu, Yolanda|Scrandis, Debra A."
WOS:000387978500044,"Bell, TM|Savage, SA|Sumislawski, JJ|Zarzaur, BL","Bell, TM|Savage, SA|Sumislawski, JJ|Zarzaur, BL","Bell, Teresa M.|Savage, Stephanie A.|Sumislawski, Joshua J.|Zarzaur, Ben L., Jr.","Bell, Teresa M.|Savage, Stephanie A.|Sumislawski, Joshua J.|Zarzaur, Ben L., Jr."
WOS:000392736800001,"Burrow-Sanchez, JJ|Glidden-Tracey, CE|Iwamoto, DK|Martin, JL|Vaughan, EL","Burrow-Sanchez, JJ|Glidden-Tracey, CE|Iwamoto, DK|Martin, JL|Vaughan, EL","Burrow-Sanchez, Jason J.|Glidden-Tracey, Cynthia E.|Iwamoto, Derek K.|Martin, Jessica L.|Vaughan, Ellen L.","Burrow-Sanchez, Jason J.|Glidden-Tracey, Cynthia E.|Iwamoto, Derek K.|Martin, Jessica L.|Vaughan, Ellen L."
WOS:000386706600012,"Brikell, I|D'Onofrio, BM|Kuja-Halkola, R|Larsson, H|Lichtenstein, P","Brikell, I|D'Onofrio, BM|Kuja-Halkola, R|Larsson, H|Lichtenstein, P","Brikell, Isabell|D'Onofrio, Brian M.|Kuja-Halkola, Ralf|Larsson, Henrik|Lichtenstein, Paul","Brikell, Isabell|D'Onofrio, Brian M.|Kuja-Halkola, Ralf|Larsson, Henrik|Lichtenstein, Paul"
WOS:000386706600031,"Almqvist, C|Class, QA|D'Onofrio, BM|Ginsberg, Y|Larsson, H|Lichtenstein, P|Oberg, AS|Rickert, ME","Almqvist, C|Class, QA|D'Onofrio, BM|Ginsberg, Y|Larsson, H|Lichtenstein, P|Oberg, AS|Rickert, ME","Almqvist, Catarina|Class, Quetzal A.|D'Onofrio, Brian M.|Ginsberg, Ylva|Larsson, Henrik|Lichtenstein, Paul|Oberg, Anna S.|Rickert, Martin","Almqvist, Catarina|Class, Quetzal A.|D'Onofrio, Brian M.|Ginsberg, Ylva|Larsson, Henrik|Lichtenstein, Paul|Oberg, Anna S.|Rickert, Martin"
WOS:000386706600104,"D'Onofrio, BM|Lichtenstein, P|Pettersson, E","D'Onofrio, BM|Lichtenstein, P|Pettersson, E","D'Onofrio, Brian M.|Lichtenstein, Paul|Pettersson, Erik","D'Onofrio, Brian M.|Lichtenstein, Paul|Pettersson, Erik"
WOS:000388590000026,"Center, KE|Gunn, JKL|Roth, AM|Wiehe, SE","Center, KE|Gunn, JKL|Roth, AM|Wiehe, SE","Center, Katherine E.|Gunn, Jayleen K. L.|Roth, Alexis M.|Wiehe, Sarah E.","Center, Katherine E.|Gunn, Jayleen K. L.|Roth, Alexis M.|Wiehe, Sarah E."
WOS:000387927400008,"Almqvist, C|Brander, G|D'Onofrio, BM|Fernandez de la Cruz, L|Kuja-Halkola, R|Larsson, H|Lichtenstein, P|Mataix-Cols, D|Ruck, C|Rydell, M|Serlachius, E","Almqvist, C|Brander, G|D'Onofrio, BM|Fernandez de la Cruz, L|Kuja-Halkola, R|Larsson, H|Lichtenstein, P|Mataix-Cols, D|Ruck, C|Rydell, M|Serlachius, E","Almqvist, Catarina|Brander, Gustaf|D'Onofrio, Brian M.|Fernandez de la Cruz, Lorena|Kuja-Halkola, Ralf|Larsson, Henrik|Lichtenstein, Paul|Mataix-Cols, David|Ruck, Christian|Rydell, Mina|Serlachius, Eva","Almqvist, Catarina|Brander, Gustaf|D'Onofrio, Brian M.|Fernandez de la Cruz, Lorena|Kuja-Halkola, Ralf|Larsson, Henrik|Lichtenstein, Paul|Mataix-Cols, David|Ruck, Christian|Rydell, Mina|Serlachius, Eva"
WOS:000388036300007,"Adams, K|Guerra-Reyes, L|Meyerson, BE|Sanders, SA|Simmons, M","Adams, K|Guerra-Reyes, L|Meyerson, BE|Sanders, SA|Simmons, M","Adams, Kristin|Guerra-Reyes, Lucia|Meyerson, Beth E.|Sanders, Stephanie A.|Simmons, Megan","Adams, Kristin|Guerra-Reyes, Lucia|Meyerson, Beth E.|Sanders, Stephanie A.|Simmons, Megan"
WOS:000385876900001,"Aghaulor, B|Brown, K|Davis, A|Meyerson, BE|Muessig, KE|Tucker, JD|Watson, A|Yang, LG","Aghaulor, B|Brown, K|Davis, A|Meyerson, BE|Muessig, KE|Tucker, JD|Watson, A|Yang, LG","Aghaulor, Blessing|Brown, Katherine|Davis, Alissa|Meyerson, Beth E.|Muessig, Kathryn E.|Tucker, Joseph D.|Watson, Adisyn|Yang, Ligang","Aghaulor, Blessing|Brown, Katherine|Davis, Alissa|Meyerson, Beth E.|Muessig, Kathryn E.|Tucker, Joseph D.|Watson, Adisyn|Yang, Ligang"
WOS:000385948400010,"Bayt, DR|Bell, TM","Bayt, DR|Bell, TM","Bayt, Demetria R.|Bell, Teresa M.","Bayt, Demetria R.|Bell, Teresa M."
WOS:000393077500191,"Bell, TM|Dolejs, S|Zarzaur, BL","Bell, TM|Dolejs, S|Zarzaur, BL","Bell, Teresa M.|Dolejs, Scott|Zarzaur, Ben L., Jr.","Bell, Teresa M.|Dolejs, Scott|Zarzaur, Ben L., Jr."
WOS:000390662200006,"Anckarsater, H|D'Onofrio, BM|Gumpert, CH|Langstorm, N|Larsson, H|Lichtenstein, P|Lundstrom, S|Pettersson, E|Quinn, PD","Anckarsater, H|D'Onofrio, BM|Gumpert, CH|Langstorm, N|Larsson, H|Lichtenstein, P|Lundstrom, S|Pettersson, E|Quinn, PD","Anckarsater, Henrik|D'Onofrio, Brian M.|Gumpert, Clara Hellner|Langstorm, Niklas|Larsson, Henrik|Lichtenstein, Paul|Lundstrom, Sebastian|Pettersson, Erik|Quinn, Patrick D.","Anckarsater, Henrik|D'Onofrio, Brian M.|Gumpert, Clara Hellner|Langstorm, Niklas|Larsson, Henrik|Lichtenstein, Paul|Lundstrom, Sebastian|Pettersson, Erik|Quinn, Patrick D."
WOS:000390695900075,"Haderxhanaj, LT|Markowitz, LE|McGinnis, E|Meites, E|Meyerson, BE|Saraiya, M|Smith, W","Haderxhanaj, LT|Markowitz, LE|McGinnis, E|Meites, E|Meyerson, BE|Saraiya, M|Smith, W","Haderxhanaj, Laura T.|Markowitz, Lauri E.|McGinnis, Emily|Meites, Elissa|Meyerson, Beth E.|Saraiya, Mona|Smith, William","Haderxhanaj, Laura T.|Markowitz, Lauri E.|McGinnis, Emily|Meites, Elissa|Meyerson, Beth E.|Saraiya, Mona|Smith, William"
WOS:000390695900346,"Haderxhanaj, LT|Meador, A|Meyerson, BE|Multani, G|Naeyaert, L|Sayegh, MA|Simmons, M","Haderxhanaj, LT|Meador, A|Meyerson, BE|Multani, G|Naeyaert, L|Sayegh, MA|Simmons, M","Haderxhanaj, Laura T.|Meador, Audra|Meyerson, Beth E.|Multani, Gurprit|Naeyaert, Lindsay|Sayegh, M. Aaron|Simmons, Megan","Haderxhanaj, Laura T.|Meador, Audra|Meyerson, Beth E.|Multani, Gurprit|Naeyaert, Lindsay|Sayegh, M. Aaron|Simmons, Megan"
WOS:000383713500025,"D'Onofrio, BM|Kuja-Halkola, R|Larsson, H|Latvala, A|Lichtenstein, P","D'Onofrio, BM|Kuja-Halkola, R|Larsson, H|Latvala, A|Lichtenstein, P","D'Onofrio, Brian M.|Kuja-Halkola, Ralf|Larsson, Henrik|Latvala, Antti|Lichtenstein, Paul","D'Onofrio, Brian M.|Kuja-Halkola, Ralf|Larsson, Henrik|Latvala, Antti|Lichtenstein, Paul"
WOS:000383710000004,"Cano, MA|Cerna, Y|Childress, S|de Dios, MA|Niaura, R|Vaughan, EL","Cano, MA|Cerna, Y|Childress, S|de Dios, MA|Niaura, R|Vaughan, EL","Cano, Miguel Angel|Cerna, Yohanna|Childress, Sarah|de Dios, Marcel A.|Niaura, Raymond|Vaughan, Ellen L.","Cano, Miguel Angel|Cerna, Yohanna|Childress, Sarah|de Dios, Marcel A.|Niaura, Raymond|Vaughan, Ellen L."
WOS:000388267600017,"Aalsma, MC|Downs, SM|Goddard, AW|Hancock, EF|Hendrix, KS|Lambert, D|Rosenman, MB|Schwartz, K|Slaven, J","Aalsma, MC|Downs, SM|Goddard, AW|Hancock, EF|Hendrix, KS|Lambert, D|Rosenman, MB|Schwartz, K|Slaven, J","Aalsma, Matthew C.|Downs, Stephen M.|Goddard, Andrew W.|Hancock, Emily F.|Hendrix, Kristin S.|Lambert, David|Rosenman, Marc B.|Schwartz, Katherine|Slaven, James","Aalsma, Matthew C.|Downs, Stephen M.|Goddard, Andrew W.|Hancock, Emily F.|Hendrix, Kristin S.|Lambert, David|Rosenman, Marc B.|Schwartz, Katherine|Slaven, James"
WOS:000384212700001,"Almqvist, C|Bateman, BT|D'Onofrio, BM|Ecker, JL|Hernandez-Diaz, S|Larsson, H|Lichtenstein, P|Oberg, AS|Rickert, ME","Almqvist, C|Bateman, BT|D'Onofrio, BM|Ecker, JL|Hernandez-Diaz, S|Larsson, H|Lichtenstein, P|Oberg, AS|Rickert, ME","Almqvist, Catarina|Bateman, Brian T.|D'Onofrio, Brian M.|Ecker, Jeffrey L.|Hernandez-Diaz, Sonia|Larsson, Henrik|Lichtenstein, Paul|Oberg, Anna S.|Rickert, Martin","Almqvist, Catarina|Bateman, Brian T.|D'Onofrio, Brian M.|Ecker, Jeffrey L.|Hernandez-Diaz, Sonia|Larsson, Henrik|Lichtenstein, Paul|Oberg, Anna S.|Rickert, Martin"
WOS:000382931900003,"Aalsma, MC|Best, J|Davis, A|Dodge, B|Luo, JH|Meyerson, BE|Tucker, JD|Van der Pol, BJ|Wei, CY","Aalsma, MC|Best, J|Davis, A|Dodge, B|Luo, JH|Meyerson, BE|Tucker, JD|Van der Pol, BJ|Wei, CY","Aalsma, Matthew C.|Best, John|Davis, Alissa|Dodge, Brian|Luo, Juhua|Meyerson, Beth E.|Tucker, Joseph D.|Van der Pol, Barbara J.|Wei, Chongyi","Aalsma, Matthew C.|Best, John|Davis, Alissa|Dodge, Brian|Luo, Juhua|Meyerson, Beth E.|Tucker, Joseph D.|Van der Pol, Barbara J.|Wei, Chongyi"
WOS:000381224400006,"Donahue, KL|D'Onofrio, BM|Goodnight, JA|Lahey, BB|Rathouz, PJ|Van Hulle, CA|Waldman, ID","Donahue, KL|D'Onofrio, BM|Goodnight, JA|Lahey, BB|Rathouz, PJ|Van Hulle, CA|Waldman, ID","Donahue, Kelly L.|D'Onofrio, Brian M.|Goodnight, Jackson A.|Lahey, Benjamin B.|Rathouz, Paul J.|Van Hulle, Carol A.|Waldman, Irwin D.","Donahue, Kelly L.|D'Onofrio, Brian M.|Goodnight, Jackson A.|Lahey, Benjamin B.|Rathouz, Paul J.|Van Hulle, Carol A.|Waldman, Irwin D."
WOS:000382347800005,"Boehm, SL|Frazee, AM|Kasten, CR","Boehm, SL|Frazee, AM|Kasten, CR","Boehm, Stephen L., II|Frazee, A. M.|Kasten, Chelsea R.","Boehm, Stephen L., II|Frazee, A. M.|Kasten, Chelsea R."
WOS:000383357400020,"D'Onofrio, BM|Fazel, S|Larsson, H|Sariaslan, A|Sharp, DJ","D'Onofrio, BM|Fazel, S|Larsson, H|Sariaslan, A|Sharp, DJ","D'Onofrio, Brian M.|Fazel, Seena|Larsson, Henrik|Sariaslan, Amir|Sharp, David J.","D'Onofrio, Brian M.|Fazel, Seena|Larsson, Henrik|Sariaslan, Amir|Sharp, David J."
WOS:000382337900084,"Boehm, SL|Chester, JA|Eng, MY|Kirchhoff, AM|Liang, TB|Luczak, SE|Qiu, B|Shou, WN|Stewart, RB|Wall, TL|Xu, YX|Yong, WD","Boehm, SL|Chester, JA|Eng, MY|Kirchhoff, AM|Liang, TB|Luczak, SE|Qiu, B|Shou, WN|Stewart, RB|Wall, TL|Xu, YX|Yong, WD","Boehm, Stephen L., II|Chester, Julia A.|Eng, Mimy Y.|Kirchhoff, Aaron M.|Liang, Tiebing|Luczak, Susan E.|Qiu, Bin|Shou, Weinian|Stewart, Robert B.|Wall, Tamara L.|Xu, Yuxue|Yong, Weidong","Boehm, Stephen L., II|Chester, Julia A.|Eng, Mimy Y.|Kirchhoff, Aaron M.|Liang, Tiebing|Luczak, Susan E.|Qiu, Bin|Shou, Weinian|Stewart, Robert B.|Wall, Tamara L.|Xu, Yuxue|Yong, Weidong"
WOS:000382230100016,"Bayt, DR|Bell, TM|Fecher, AM|Jenkins, PC|Siedlecki, CB|Stokes, SM|Yoder, J","Bayt, DR|Bell, TM|Fecher, AM|Jenkins, PC|Siedlecki, CB|Stokes, SM|Yoder, J","Bayt, Demetria R.|Bell, Teresa M.|Fecher, Alison M.|Jenkins, Peter C.|Siedlecki, Charles B.|Stokes, Samantha M.|Yoder, Joseph","Bayt, Demetria R.|Bell, Teresa M.|Fecher, Alison M.|Jenkins, Peter C.|Siedlecki, Charles B.|Stokes, Samantha M.|Yoder, Joseph"
WOS:000380797300005,"Bell, TM|Blanton, C|Feliciano, DV|Koniaris, LG|Mayo, JS|Rozycki, GS|Valsangkar, NP|Zimmers, TA","Bell, TM|Blanton, C|Feliciano, DV|Koniaris, LG|Mayo, JS|Rozycki, GS|Valsangkar, NP|Zimmers, TA","Bell, Teresa M.|Blanton, Casi|Feliciano, David V.|Koniaris, Leonidas G.|Mayo, John S.|Rozycki, Grace S.|Valsangkar, Nakul P.|Zimmers, Teresa A.","Bell, Teresa M.|Blanton, Casi|Feliciano, David V.|Koniaris, Leonidas G.|Mayo, John S.|Rozycki, Grace S.|Valsangkar, Nakul P.|Zimmers, Teresa A."
WOS:000380751200025,"Ahuja, N|Bell, TM|Blanton, C|Fecher, AM|Freischlag, JA|Koniaris, LG|Rozycki, GS|Valsangkar, NP|Zimmers, TA","Ahuja, N|Bell, TM|Blanton, C|Fecher, AM|Freischlag, JA|Koniaris, LG|Rozycki, GS|Valsangkar, NP|Zimmers, TA","Ahuja, Nita|Bell, Teresa M.|Blanton, Casi|Fecher, Alison M.|Freischlag, Julie A.|Koniaris, Leonidas G.|Rozycki, Grace S.|Valsangkar, Nakul P.|Zimmers, Teresa A.","Ahuja, Nita|Bell, Teresa M.|Blanton, Casi|Fecher, Alison M.|Freischlag, Julie A.|Koniaris, Leonidas G.|Rozycki, Grace S.|Valsangkar, Nakul P.|Zimmers, Teresa A."
WOS:000376050300002,"Aalsma, MC|Hershberger, AR|Zapolski, TCB","Aalsma, MC|Hershberger, AR|Zapolski, TCB","Aalsma, Matthew C.|Hershberger, Alexandra R.|Zapolski, Tamika C. B.","Aalsma, Matthew C.|Hershberger, Alexandra R.|Zapolski, Tamika C. B."
WOS:000380325400006,"Blosser, SJ|Brooks, JT|Broz, D|Chapman, EL|Combs, B|Conrad, C|Duwve, JM|Galang, RR|Gentry, J|Hoover, KW|Khudyakov, Y|McCants, V|Mermin, J|Owen, SM|Patel, MR|Peters, PJ|Pontones, P|Roseberry, JC|Samandari, T|Shields, J|Spiller, MW|Switzer, WM|Walthall, JDH|Waterhouse, D|Weidle, PJ","Blosser, SJ|Brooks, JT|Broz, D|Chapman, EL|Combs, B|Conrad, C|Duwve, JM|Galang, RR|Gentry, J|Hoover, KW|Khudyakov, Y|McCants, V|Mermin, J|Owen, SM|Patel, MR|Peters, PJ|Pontones, P|Roseberry, JC|Samandari, T|Shields, J|Spiller, MW|Switzer, WM|Walthall, JDH|Waterhouse, D|Weidle, PJ","Blosser, Sara J.|Brooks, John T.|Broz, Dita|Chapman, Erika L.|Combs, Brittany|Conrad, Caitlin|Duwve, Joan M.|Galang, Romeo R.|Gentry, Jessica|Hoover, Karen W.|Khudyakov, Yury|McCants, Veronica|Mermin, Jonathan|Owen, S. Michele|Patel, Monita R.|Peters, Philip J.|Pontones, Pamela|Roseberry, Jeremy C.|Samandari, Taraz|Shields, Jessica|Spiller, Michael W.|Switzer, William M.|Walthall, Jennifer D. H.|Waterhouse, Dorothy|Weidle, Paul J.","Blosser, Sara J.|Brooks, John T.|Broz, Dita|Chapman, Erika L.|Combs, Brittany|Conrad, Caitlin|Duwve, Joan M.|Galang, Romeo R.|Gentry, Jessica|Hoover, Karen W.|Khudyakov, Yury|McCants, Veronica|Mermin, Jonathan|Owen, S. Michele|Patel, Monita R.|Peters, Philip J.|Pontones, Pamela|Roseberry, Jeremy C.|Samandari, Taraz|Shields, Jessica|Spiller, Michael W.|Switzer, William M.|Walthall, Jennifer D. H.|Waterhouse, Dorothy|Weidle, Paul J."
WOS:000380796400025,"Bayt, DR|Bell, TM|Feliciano, DV|Hammer, PM|Hockaday, MS|Rozycki, GS|Storey, AC|Zarzaur, BL","Bayt, DR|Bell, TM|Feliciano, DV|Hammer, PM|Hockaday, MS|Rozycki, GS|Storey, AC|Zarzaur, BL","Bayt, Demetria R.|Bell, Teresa M.|Feliciano, David V.|Hammer, Peter M.|Hockaday, Melissa S.|Rozycki, Grace S.|Storey, Annika C.|Zarzaur, Ben L., Jr.","Bayt, Demetria R.|Bell, Teresa M.|Feliciano, David V.|Hammer, Peter M.|Hockaday, Melissa S.|Rozycki, Grace S.|Storey, Annika C.|Zarzaur, Ben L., Jr."
WOS:000379811900006,"Boehm, SL|Kasten, CR","Boehm, SL|Kasten, CR","Boehm, Stephen L., II|Kasten, Chelsea R.","Boehm, Stephen L., II|Kasten, Chelsea R."
WOS:000378461900008,"Byrnes, HF|Miller, BA|Morrison, CN|Remer, LG|Wiebe, DJ|Wiehe, SE","Byrnes, HF|Miller, BA|Morrison, CN|Remer, LG|Wiebe, DJ|Wiehe, SE","Byrnes, Hilary F.|Miller, Brenda A.|Morrison, Christopher N.|Remer, Lillian G.|Wiebe, Douglas J.|Wiehe, Sarah E.","Byrnes, Hilary F.|Miller, Brenda A.|Morrison, Christopher N.|Remer, Lillian G.|Wiebe, Douglas J.|Wiehe, Sarah E."
WOS:000408534500014,"Barnes, J|Fisher, S|Hsu, WW|Zapolski, TCB","Barnes, J|Fisher, S|Hsu, WW|Zapolski, TCB","Barnes, Jessica|Fisher, Sycarah|Hsu, Wei-Wen|Zapolski, Tamika C. B.","Barnes, Jessica|Fisher, Sycarah|Hsu, Wei-Wen|Zapolski, Tamika C. B."
WOS:000374360800009,"Banks, DE|Dir, AL|Hulvershorn, LA|McIntyre, E|Zapolski, TCB","Banks, DE|Dir, AL|Hulvershorn, LA|McIntyre, E|Zapolski, TCB","Banks, Devin E.|Dir, Allyson L.|Hulvershorn, Leslie A.|McIntyre, Elizabeth|Zapolski, Tamika C. B.","Banks, Devin E.|Dir, Allyson L.|Hulvershorn, Leslie A.|McIntyre, Elizabeth|Zapolski, Tamika C. B."
WOS:000379814601039,"Boehm, SL|Dowden, BA|Fritz, BM","Boehm, SL|Dowden, BA|Fritz, BM","Boehm, Stephen L., II|Dowden, B. A.|Fritz, Brandon M.","Boehm, Stephen L., II|Dowden, B. A.|Fritz, Brandon M."
WOS:000379814601497,"Blasingame, SN|Boehm, SL|Kasten, CR","Blasingame, SN|Boehm, SL|Kasten, CR","Blasingame, Shelby N.|Boehm, Stephen L., II|Kasten, Chelsea R.","Blasingame, Shelby N.|Boehm, Stephen L., II|Kasten, Chelsea R."
WOS:000379814601840,"Banks, DE|Zapolski, TCB","Banks, DE|Zapolski, TCB","Banks, Devin E.|Zapolski, Tamika C. B.","Banks, Devin E.|Zapolski, Tamika C. B."
WOS:000379814601854,"Barnes, J|Zapolski, TCB","Barnes, J|Zapolski, TCB","Barnes, Jessica|Zapolski, Tamika C. B.","Barnes, Jessica|Zapolski, Tamika C. B."
WOS:000379814602227,"Boehm, SL|Fritz, BM","Boehm, SL|Fritz, BM","Boehm, Stephen L.|Fritz, Brandon M.","Boehm, Stephen L.|Fritz, Brandon M."
WOS:000379811300023,"Boehm, SL|Fritz, BM|Kasten, CR|Quoilin, C|Smoker, MP","Boehm, SL|Fritz, BM|Kasten, CR|Quoilin, C|Smoker, MP","Boehm, Stephen L., II|Fritz, Brandon M.|Kasten, Chelsea R.|Quoilin, Caroline|Smoker, Michael P.","Boehm, Stephen L., II|Fritz, Brandon M.|Kasten, Chelsea R.|Quoilin, Caroline|Smoker, Michael P."
WOS:000378041800010,"Earnest, MA|Pfeifle, AL","Earnest, MA|Pfeifle, AL","Earnest, Mark A.|Pfeifle, Andrea L.","Earnest, Mark A.|Pfeifle, Andrea L."
WOS:000377423200011,"Aalsma, MC|Lau, KSL|White, LM","Aalsma, MC|Lau, KSL|White, LM","Aalsma, Matthew C.|Lau, Katherine S. L.|White, Laura M.","Aalsma, Matthew C.|Lau, Katherine S. L.|White, Laura M."
WOS:000375617800011,"Bell, TM|Frantz, TL|Gaski, GE|McKinley, TO|Steenburg, SD","Bell, TM|Frantz, TL|Gaski, GE|McKinley, TO|Steenburg, SD","Bell, Teresa M.|Frantz, Travis L.|Gaski, Greg E.|McKinley, Todd O.|Steenburg, Scott D.","Bell, Teresa M.|Frantz, Travis L.|Gaski, Greg E.|McKinley, Todd O.|Steenburg, Scott D."
WOS:000413304300042,"Bell, TM|Brown, JW|Kumar, M|Rodefeld, MD|Turrentine, MW","Bell, TM|Brown, JW|Kumar, M|Rodefeld, MD|Turrentine, MW","Bell, Teresa M.|Brown, John W.|Kumar, Mohineesh|Rodefeld, Mark D.|Turrentine, Mark W.","Bell, Teresa M.|Brown, John W.|Kumar, Mohineesh|Rodefeld, Mark D.|Turrentine, Mark W."
