Unique ID,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000439478200016,"Aalsma, MC|Downs, SM|Etter, DJ|Gilbert, AL|Hall, JA|McCord, AL|Ouyang, FQ|Tu, WZ|Williams, RL","Aalsma, MC|Downs, SM|Etter, DJ|Gilbert, AL|Hall, JA|McCord, AL|Ouyang, FQ|Tu, WZ|Williams, RL","Aalsma, Matthew C.|Downs, Stephen M.|Etter, Dillon J.|Gilbert, Amy L.|Hall, James A.|McCord, Allison L.|Ouyang, Fangqian|Tu, Wanzhu|Williams, Rebekah L.","Aalsma, Matthew C.|Downs, Stephen M.|Etter, Dillon J.|Gilbert, Amy L.|Hall, James A.|McCord, Allison L.|Ouyang, Fangqian|Tu, Wanzhu|Williams, Rebekah L."
WOS:000438336500012,"Barton, AW|Brody, GH|Goings, TC|Kogan, SM|Windle, M|Yu, TY|Zapolski, TCB","Barton, AW|Brody, GH|Goings, TC|Kogan, SM|Windle, M|Yu, TY|Zapolski, TCB","Barton, Allen W.|Brody, Gene H.|Goings, Trenette C.|Kogan, Steven M.|Windle, Michael|Yu, Tianyi|Zapolski, Tamika C. B.","Barton, Allen W.|Brody, Gene H.|Goings, Trenette C.|Kogan, Steven M.|Windle, Michael|Yu, Tianyi|Zapolski, Tamika C. B."
WOS:000438060100003,"Aalsma, MC|Cyders, MA|Hershberger, AR|Kolp, HM|Sanders, J|Um, M","Aalsma, MC|Cyders, MA|Hershberger, AR|Kolp, HM|Sanders, J|Um, M","Aalsma, Matthew C.|Cyders, Melissa A.|Hershberger, Alexandra R.|Kolp, Haley M.|Sanders, Jasmyn|Um, Miji","Aalsma, Matthew C.|Cyders, Melissa A.|Hershberger, Alexandra R.|Kolp, Haley M.|Sanders, Jasmyn|Um, Miji"
WOS:000441227300014,"Seibt, G","Seibt, G","Seibt, Gustav","Seibt, Gustav"
WOS:000441280300006,"Aalsma, MC|Beerbower, E|Hall, JA|Jaggers, JW|Kondrat, D","Aalsma, MC|Beerbower, E|Hall, JA|Jaggers, JW|Kondrat, D","Aalsma, Matthew C.|Beerbower, Emily|Hall, James A.|Jaggers, Jeremiah W.|Kondrat, David","Aalsma, Matthew C.|Beerbower, Emily|Hall, James A.|Jaggers, Jeremiah W.|Kondrat, David"
WOS:000436912700027,"Agley, JD|Davis, A|Gassman, RA|Hoss, A|Jayawardene, W|Meyerson, BE|Ritchie, K|Ryder, PT|Shannon, DJ","Agley, JD|Davis, A|Gassman, RA|Hoss, A|Jayawardene, W|Meyerson, BE|Ritchie, K|Ryder, PT|Shannon, DJ","Agley, Jon D.|Davis, Alissa|Gassman, Ruth A.|Hoss, A.|Jayawardene, W.|Meyerson, Beth E.|Ritchie, Karleen|Ryder, Priscilla T.|Shannon, David J.","Agley, Jon D.|Davis, Alissa|Gassman, Ruth A.|Hoss, A.|Jayawardene, W.|Meyerson, Beth E.|Ritchie, Karleen|Ryder, Priscilla T.|Shannon, David J."
WOS:000436297300027,"Branch, WT|Derse, AR|Dunne, DW|Frankel, RM|Gilligan, MC|Hafler, JP|Litzelman, DK|May, NB|Osterberg, LG|Plews-Ogan, M|Rider, EA|Weil, AB","Branch, WT|Derse, AR|Dunne, DW|Frankel, RM|Gilligan, MC|Hafler, JP|Litzelman, DK|May, NB|Osterberg, LG|Plews-Ogan, M|Rider, EA|Weil, AB","Branch, William T., Jr.|Derse, Arthur R.|Dunne, Dana W.|Frankel, Richard M.|Gilligan, MaryAnn C.|Hafler, Janet P.|Litzelman, Debra K.|May, Natalie B.|Osterberg, Lars G.|Plews-Ogan, Margaret|Rider, Elizabeth A.|Weil, Amy B.","Branch, William T., Jr.|Derse, Arthur R.|Dunne, Dana W.|Frankel, Richard M.|Gilligan, MaryAnn C.|Hafler, Janet P.|Litzelman, Debra K.|May, Natalie B.|Osterberg, Lars G.|Plews-Ogan, Margaret|Rider, Elizabeth A.|Weil, Amy B."
WOS:000437815700002,"Silverman, RD|Yang, YT","Silverman, RD|Yang, YT","Silverman, Ross D.|Yang, Y. Tony","Silverman, Ross D.|Yang, Y. Tony"
WOS:000434341400011,"Comer, KF|Haderxhanaj, LT|Meyerson, BE|Zimet, GD","Comer, KF|Haderxhanaj, LT|Meyerson, BE|Zimet, GD","Comer, Karen Frederickson|Haderxhanaj, Laura T.|Meyerson, Beth E.|Zimet, Gregory D.","Comer, Karen Frederickson|Haderxhanaj, Laura T.|Meyerson, Beth E.|Zimet, Gregory D."
WOS:000443221501045,"Boehm, SL|Hernandez, M|Schafer, DJ|Smoker, MP","Boehm, SL|Hernandez, M|Schafer, DJ|Smoker, MP","Boehm, Stephen L., III|Hernandez, M.|Schafer, D. J.|Smoker, Michael P.","Boehm, Stephen L., III|Hernandez, M.|Schafer, D. J.|Smoker, Michael P."
