id,fullname,fullname-revised,name,name-revised
WOS:000188290000074,"Aalsma, MC|Fife, KH|Fortenberry, JD|LeJeune, BC|Rosenthal, SL|Zimet, GD","Aalsma, Matthew C.|Fife, KH|Fortenberry, J. Dennis|LeJeune, Brenna C.|Rosenthal, Susan L.|Zimet, Gregory D.","Aalsma, MC|Fife, KH|Fortenberry, JD|LeJeune, BC|Rosenthal, SL|Zimet, GD","Aalsma, MC|Fife, KH|Fortenberry, JD|LeJeune, BC|Rosenthal, SL|Zimet, GD"
WOS:000188290000085,"Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.","Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, MC|Fortenberry, JD|Orr, DP"
WOS:000189418100127,"Embi, PJ|Hersh, WR|Olson, DD|Price, SL","Embi, Peter J.|Hersh, William R.|Olson, DD|Price, SL","Embi, PJ|Hersh, WR|Olson, DD|Price, SL","Embi, PJ|Hersh, WR|Olson, DD|Price, SL"
WOS:000207625200007,"Cooney, Thomas G.|Desai, Sima|Embi, Peter J.","Cooney, Thomas G.|Desai, Sima|Embi, Peter J.","Cooney, TG|Desai, S|Embi, PJ","Cooney, TG|Desai, S|Embi, PJ"
WOS:000208630300002,"Hoch, Shawn C.|Liu, Gilbert C.|Wiehe, Sarah E.","Hoch, Shawn C.|Liu, Gilbert C.|Wiehe, Sarah E.","Hoch, SC|Liu, GC|Wiehe, SE","Hoch, SC|Liu, GC|Wiehe, SE"
WOS:000208686200008,"Embi, P. J.|Johnson, S. B.|Mendonca, E.|Payne, P. R. O.|Starren, J.","Embi, Peter J.|Johnson, Stephen B.|Mendonca, E.|Payne, Philip R. O.|Starren, J.","Embi, PJ|Johnson, SB|Mendonca, E|Payne, PRO|Starren, J","Embi, PJ|Johnson, SB|Mendonca, E|Payne, PRO|Starren, J"
WOS:000208989300002,"Aalsma, Matthew C.|Blythe, Margaret J.|Harezlak, Jaroslaw|Rosenman, Marc B.|Tong, Yan","Aalsma, Matthew C.|Blythe, Margaret J.|Harezlak, Jaroslaw|Rosenman, Marc B.|Tong, Yan","Aalsma, MC|Blythe, MJ|Harezlak, J|Rosenman, MB|Tong, Y","Aalsma, MC|Blythe, MJ|Harezlak, J|Rosenman, MB|Tong, Y"
WOS:000209506600018,"Aalsma, M. C.|Burgess, A. W.|Fortenberry, J.|Rosenman, M. B.|Wiehe, S.","Aalsma, Matthew C.|Burgess, Aaron W.|Fortenberry, J. Dennis|Rosenman, Marc B.|Wiehe, Sarah E.","Aalsma, MC|Burgess, AW|Fortenberry, J|Rosenman, MB|Wiehe, S","Aalsma, MC|Burgess, AW|Fortenberry, JD|Rosenman, MB|Wiehe, SE"
WOS:000209506600327,"Arno, J. N.|Fortenberry, J. D.|Garfein, R.|Gunn, J.|Hensel, D. J.|Roth, A. M.|Wiehe, S. E.","Arno, Janet N.|Fortenberry, J. Dennis|Garfein, Richard S.|Gunn, J.|Hensel, Devon J.|Roth, Alexis M.|Wiehe, Sarah E.","Arno, JN|Fortenberry, JD|Garfein, R|Gunn, J|Hensel, DJ|Roth, AM|Wiehe, SE","Arno, JN|Fortenberry, JD|Garfein, RS|Gunn, J|Hensel, DJ|Roth, AM|Wiehe, SE"
WOS:000209506600463,"Coy, K.|Meyerson, B. E.|Ryder, P. T.|von Hippel, C.","Coy, Kelsey C.|Meyerson, Beth E.|Ryder, Priscilla T.|von Hippel, Christiana D. J.","Coy, K|Meyerson, BE|Ryder, PT|von Hippel, C","Coy, KC|Meyerson, BE|Ryder, PT|von Hippel, CDJ"
